Iteration Times, 111, Error, 1.072197, MSE, 0.292156
Iteration Times, 112, Error, 1.071560, MSE, 0.291939
Iteration Times, 113, Error, 1.070929, MSE, 0.291725
Iteration Times, 114, Error, 1.070303, MSE, 0.291513
Iteration Times, 115, Error, 1.069682, MSE, 0.291304
Iteration Times, 116, Error, 1.069065, MSE, 0.291096
Iteration Times, 117, Error, 1.068454, MSE, 0.290891
Iteration Times, 118, Error, 1.067847, MSE, 0.290689
Iteration Times, 119, Error, 1.067245, MSE, 0.290488
Iteration Times, 120, Error, 1.066647, MSE, 0.290289
Iteration Times, 121, Error, 1.066054, MSE, 0.290093
Iteration Times, 122, Error, 1.065465, MSE, 0.289898
Iteration Times, 123, Error, 1.064880, MSE, 0.289706
Iteration Times, 124, Error, 1.064299, MSE, 0.289515
Iteration Times, 125, Error, 1.063722, MSE, 0.289327
Iteration Times, 126, Error, 1.063149, MSE, 0.289140
Iteration Times, 127, Error, 1.062580, MSE, 0.288955
Iteration Times, 128, Error, 1.062014, MSE, 0.288772
Iteration Times, 129, Error, 1.061452, MSE, 0.288590
Iteration Times, 130, Error, 1.060894, MSE, 0.288410
Iteration Times, 131, Error, 1.060338, MSE, 0.288232
Iteration Times, 132, Error, 1.059786, MSE, 0.288056
Iteration Times, 133, Error, 1.059237, MSE, 0.287881
Iteration Times, 134, Error, 1.058692, MSE, 0.287708
Iteration Times, 135, Error, 1.058149, MSE, 0.287536
Iteration Times, 136, Error, 1.057609, MSE, 0.287366
Iteration Times, 137, Error, 1.057072, MSE, 0.287198
Iteration Times, 138, Error, 1.056538, MSE, 0.287030
Iteration Times, 139, Error, 1.056006, MSE, 0.286865
Iteration Times, 140, Error, 1.055477, MSE, 0.286701
Iteration Times, 141, Error, 1.054950, MSE, 0.286538
Iteration Times, 142, Error, 1.054426, MSE, 0.286376
Iteration Times, 143, Error, 1.053904, MSE, 0.286216
Iteration Times, 144, Error, 1.053384, MSE, 0.286057
Iteration Times, 145, Error, 1.052866, MSE, 0.285900
Iteration Times, 146, Error, 1.052351, MSE, 0.285744
Iteration Times, 147, Error, 1.051837, MSE, 0.285589
Iteration Times, 148, Error, 1.051325, MSE, 0.285435
Iteration Times, 149, Error, 1.050815, MSE, 0.285282
Iteration Times, 150, Error, 1.050307, MSE, 0.285131
Iteration Times, 151, Error, 1.049800, MSE, 0.284981
Iteration Times, 152, Error, 1.049295, MSE, 0.284832
Iteration Times, 153, Error, 1.048791, MSE, 0.284684
Iteration Times, 154, Error, 1.048289, MSE, 0.284537
Iteration Times, 155, Error, 1.047788, MSE, 0.284391
Iteration Times, 156, Error, 1.047288, MSE, 0.284246
Iteration Times, 157, Error, 1.046790, MSE, 0.284103
Iteration Times, 158, Error, 1.046292, MSE, 0.283960
Iteration Times, 159, Error, 1.045795, MSE, 0.283819
Iteration Times, 160, Error, 1.045299, MSE, 0.283678
Iteration Times, 161, Error, 1.044804, MSE, 0.283538
Iteration Times, 162, Error, 1.044310, MSE, 0.283400
Iteration Times, 163, Error, 1.043816, MSE, 0.283262
Iteration Times, 164, Error, 1.043323, MSE, 0.283125
Iteration Times, 165, Error, 1.042830, MSE, 0.282989
Iteration Times, 166, Error, 1.042337, MSE, 0.282854
Iteration Times, 167, Error, 1.041845, MSE, 0.282720
Iteration Times, 168, Error, 1.041353, MSE, 0.282587
Iteration Times, 169, Error, 1.040861, MSE, 0.282455
Iteration Times, 170, Error, 1.040369, MSE, 0.282323
Iteration Times, 171, Error, 1.039877, MSE, 0.282192
Iteration Times, 172, Error, 1.039384, MSE, 0.282063
Iteration Times, 173, Error, 1.038892, MSE, 0.281933
Iteration Times, 174, Error, 1.038399, MSE, 0.281805
Iteration Times, 175, Error, 1.037905, MSE, 0.281678
Iteration Times, 176, Error, 1.037411, MSE, 0.281551
Iteration Times, 177, Error, 1.036916, MSE, 0.281425
Iteration Times, 178, Error, 1.036421, MSE, 0.281299
Iteration Times, 179, Error, 1.035924, MSE, 0.281174
Iteration Times, 180, Error, 1.035427, MSE, 0.281051
Iteration Times, 181, Error, 1.034928, MSE, 0.280927
Iteration Times, 182, Error, 1.034428, MSE, 0.280805
Iteration Times, 183, Error, 1.033927, MSE, 0.280683
Iteration Times, 184, Error, 1.033424, MSE, 0.280561
Iteration Times, 185, Error, 1.032920, MSE, 0.280440
Iteration Times, 186, Error, 1.032414, MSE, 0.280320
Iteration Times, 187, Error, 1.031906, MSE, 0.280201
Iteration Times, 188, Error, 1.031397, MSE, 0.280082
Iteration Times, 189, Error, 1.030885, MSE, 0.279964
Iteration Times, 190, Error, 1.030371, MSE, 0.279846
Iteration Times, 191, Error, 1.029855, MSE, 0.279729
Iteration Times, 192, Error, 1.029336, MSE, 0.279612
Iteration Times, 193, Error, 1.028815, MSE, 0.279496
Iteration Times, 194, Error, 1.028291, MSE, 0.279380
Iteration Times, 195, Error, 1.027764, MSE, 0.279265
Iteration Times, 196, Error, 1.027234, MSE, 0.279151
Iteration Times, 197, Error, 1.026701, MSE, 0.279037
Iteration Times, 198, Error, 1.026164, MSE, 0.278923
Iteration Times, 199, Error, 1.025624, MSE, 0.278810
Iteration Times, 200, Error, 1.025080, MSE, 0.278697
Iteration Times, 201, Error, 1.024533, MSE, 0.278585
Iteration Times, 202, Error, 1.023981, MSE, 0.278473
Iteration Times, 203, Error, 1.023425, MSE, 0.278362
Iteration Times, 204, Error, 1.022865, MSE, 0.278251
Iteration Times, 205, Error, 1.022300, MSE, 0.278140
Iteration Times, 206, Error, 1.021730, MSE, 0.278030
Iteration Times, 207, Error, 1.021155, MSE, 0.277920
Iteration Times, 208, Error, 1.020575, MSE, 0.277811
Iteration Times, 209, Error, 1.019989, MSE, 0.277701
Iteration Times, 210, Error, 1.019398, MSE, 0.277593
Iteration Times, 211, Error, 1.018801, MSE, 0.277484
Iteration Times, 212, Error, 1.018198, MSE, 0.277376
Iteration Times, 213, Error, 1.017588, MSE, 0.277268
Iteration Times, 214, Error, 1.016971, MSE, 0.277160
Iteration Times, 215, Error, 1.016348, MSE, 0.277053
Iteration Times, 216, Error, 1.015717, MSE, 0.276946
Iteration Times, 217, Error, 1.015079, MSE, 0.276839
Iteration Times, 218, Error, 1.014432, MSE, 0.276733
Iteration Times, 219, Error, 1.013778, MSE, 0.276626
Iteration Times, 220, Error, 1.013115, MSE, 0.276520
Iteration Times, 221, Error, 1.012443, MSE, 0.276414
Iteration Times, 222, Error, 1.011762, MSE, 0.276309
Iteration Times, 223, Error, 1.011071, MSE, 0.276203
Iteration Times, 224, Error, 1.010371, MSE, 0.276098
Iteration Times, 225, Error, 1.009660, MSE, 0.275992
Iteration Times, 226, Error, 1.008938, MSE, 0.275887
Iteration Times, 227, Error, 1.008205, MSE, 0.275782
Iteration Times, 228, Error, 1.007460, MSE, 0.275677
Iteration Times, 229, Error, 1.006704, MSE, 0.275572
Iteration Times, 230, Error, 1.005934, MSE, 0.275468
Iteration Times, 231, Error, 1.005152, MSE, 0.275363
Iteration Times, 232, Error, 1.004355, MSE, 0.275258
Iteration Times, 233, Error, 1.003545, MSE, 0.275154
Iteration Times, 234, Error, 1.002720, MSE, 0.275049
Iteration Times, 235, Error, 1.001879, MSE, 0.274945
Iteration Times, 236, Error, 1.001022, MSE, 0.274840
Iteration Times, 237, Error, 1.000149, MSE, 0.274735
Iteration Times, 238, Error, 0.999259, MSE, 0.274631
Iteration Times, 239, Error, 0.998350, MSE, 0.274526
Iteration Times, 240, Error, 0.997422, MSE, 0.274421
Iteration Times, 241, Error, 0.996475, MSE, 0.274316
Iteration Times, 242, Error, 0.995507, MSE, 0.274211
Iteration Times, 243, Error, 0.994518, MSE, 0.274106
Iteration Times, 244, Error, 0.993507, MSE, 0.274000
Iteration Times, 245, Error, 0.992473, MSE, 0.273895
Iteration Times, 246, Error, 0.991415, MSE, 0.273789
Iteration Times, 247, Error, 0.990331, MSE, 0.273683
Iteration Times, 248, Error, 0.989222, MSE, 0.273576
Iteration Times, 249, Error, 0.988085, MSE, 0.273470
Iteration Times, 250, Error, 0.986920, MSE, 0.273363
Iteration Times, 251, Error, 0.985725, MSE, 0.273255
Iteration Times, 252, Error, 0.984499, MSE, 0.273148
Iteration Times, 253, Error, 0.983240, MSE, 0.273040
Iteration Times, 254, Error, 0.981948, MSE, 0.272931
Iteration Times, 255, Error, 0.980620, MSE, 0.272822
Iteration Times, 256, Error, 0.979256, MSE, 0.272713
Iteration Times, 257, Error, 0.977853, MSE, 0.272603
Iteration Times, 258, Error, 0.976410, MSE, 0.272492
Iteration Times, 259, Error, 0.974925, MSE, 0.272381
Iteration Times, 260, Error, 0.973396, MSE, 0.272270
Iteration Times, 261, Error, 0.971821, MSE, 0.272157
Iteration Times, 262, Error, 0.970199, MSE, 0.272044
Iteration Times, 263, Error, 0.968525, MSE, 0.271931
Iteration Times, 264, Error, 0.966800, MSE, 0.271816
Iteration Times, 265, Error, 0.965020, MSE, 0.271701
Iteration Times, 266, Error, 0.963182, MSE, 0.271585
